infile dictionary{
V1 V2 V3 V4
}
6.8878590e-01 3.6844167e-01 1.8051690e-01 2.1003080e-01
1.4741699e-01 7.7929106e-03 6.7849187e-01 1.3087655e-01
7.7756104e-01 6.0270132e-01 5.5688490e-02 5.2051589e-01
3.9905123e-01 4.7885474e-01 3.4057184e-02 9.0546275e-01
8.9829995e-01 3.0811769e-01 2.8651845e-01 4.0253024e-01
3.0704387e-01 7.4444445e-01 7.7390047e-02 2.1576125e-01
6.1051146e-02 8.3934928e-01 9.0057229e-01 7.8739483e-02
2.1947114e-01 2.6243192e-01 8.4660595e-01 9.3305986e-01
8.2832937e-02 5.1423806e-01 3.9569847e-01 6.0287156e-01
9.5039534e-01 4.4677413e-01 1.6921527e-01 3.7749217e-01
1.6370661e-02 3.4121115e-01 4.3045231e-01 6.6493144e-01
1.1466843e-01 8.3914181e-01 4.1621814e-01 7.9219026e-01
1.2409946e-02 9.8249250e-01 7.2876348e-01 3.3349213e-01
2.1622733e-01 6.2646450e-01 4.0647368e-01 6.9265886e-01
1.1427529e-02 1.8127517e-01 9.5180746e-01 2.0381568e-01
6.4244927e-01 1.2301702e-01 9.1198502e-01 9.5871360e-01
5.1699094e-01 5.7996871e-01 9.5141432e-01 7.1183246e-01
2.4554214e-01 3.2853580e-01 3.4600120e-01 1.6690659e-01
1.9374734e-01 2.6818637e-01 2.9024421e-01 4.4277717e-01
9.0870578e-02 5.5023910e-01 8.8670076e-01 6.3299357e-01
