infile dictionary{
V1 V2 V3 V4 V5
}
1091 8686 50950 61268 200842
1012 22079 52211 101680 205291
622 1694 28176 48621 113601
68 390 3768 54837 65029
5 269 58 2502 5638
81 1473 227 10133 29403
229 5461 4727 37371 74601
203 373 7073 20320 41247
108 367 8935 26027 40494
119 301 205 3453 21467
54 0 392 17010 23813
60 7107 12875 7176 15674
33 98 131 7419 17928
75 153 2150 4581 10602
144 0 1319 4322 13760
40 3 1828 1830 5629
80 23 1668 5657 13079
71 59 2052 4536 13281
44 67 1728 4783 9624
71 159 1336 7971 13057
5 1 577 425 971
44 79 829 6478 10182
64 885 3700 6326 12276
