infile dictionary{
V1 V2 V3 V4 V5
}
9.7974838e-01 6.2406009e-01 6.0986665e-01 4.5379771e-01 4.2283562e-01
4.3886997e-01 6.7913554e-01 6.1766639e-01 4.3239150e-01 5.4787090e-01
1.1111922e-01 3.9551522e-01 8.5944231e-01 8.2531380e-01 9.4273698e-01
2.5806470e-01 3.6743665e-01 8.0548942e-01 8.3469815e-02 4.1774410e-01
4.0871985e-01 9.8798200e-01 5.7672152e-01 1.3317101e-01 9.8305247e-01
5.9489607e-01 3.7738866e-02 1.8292247e-01 1.7338861e-01 3.0145495e-01
2.6221175e-01 8.8516801e-01 2.3993201e-01 3.9093780e-01 7.0109876e-01
6.0284309e-01 9.1328683e-01 8.8651193e-01 8.3137974e-01 6.6633885e-01
7.1121578e-01 7.9618387e-01 2.8674152e-02 8.0336439e-01 5.3912647e-01
2.2174673e-01 9.8712279e-02 4.8990139e-01 6.0471179e-02 6.9810552e-01
1.1741765e-01 2.6187118e-01 1.6792715e-01 3.9925777e-01 6.6652791e-01
2.9667587e-01 3.3535684e-01 9.7868065e-01 5.2687583e-01 1.7813245e-01
3.1877830e-01 6.7972795e-01 7.1269447e-01 4.1679947e-01 1.2801440e-01
4.2416676e-01 1.3655314e-01 5.0047162e-01 6.5685989e-01 9.9908039e-01
5.0785828e-01 7.2122750e-01 4.7108837e-01 6.2797336e-01 1.7112107e-01
8.5515797e-02 1.0676186e-01 5.9618868e-02 2.9198408e-01 3.2600821e-02
2.6248223e-01 6.5375735e-01 6.8197190e-01 4.3165117e-01 5.6119979e-01
8.0101462e-01 4.9417394e-01 4.2431138e-02 1.5487126e-02 8.8186650e-01
2.9220278e-02 7.7905172e-01 7.1445465e-02 9.8406372e-01 6.6917530e-01
9.2885414e-01 7.1503708e-01 5.2164984e-01 1.6716841e-01 1.9043327e-01
7.3033086e-01 9.0372056e-01 9.6730026e-02 1.0621634e-01 3.6891655e-01
4.8860897e-01 8.9092250e-01 8.1814855e-01 3.7240974e-01 4.6072594e-01
5.7852506e-01 3.3416305e-01 8.1754709e-01 1.9811840e-01 9.8163795e-01
2.3728358e-01 6.9874583e-01 7.2243959e-01 4.8968764e-01 1.5640495e-01
4.5884883e-01 1.9780983e-01 1.4986544e-01 3.3949341e-01 8.5552281e-01
9.6308854e-01 3.0540946e-02 6.5960525e-01 9.5163046e-01 6.4476454e-01
5.4680572e-01 7.4407426e-01 5.1859494e-01 9.2033204e-01 3.7627221e-01
5.2113583e-01 5.0002244e-01 9.7297455e-01 5.2676998e-02 1.9092370e-01
2.3159439e-01 4.7992214e-01 6.4899149e-01 7.3785810e-01 4.2825299e-01
4.8889774e-01 9.0472224e-01 8.0033058e-01 2.6911943e-01 4.8202206e-01
